obsid,uid,gp_id,designation,obsdate,lmjd,mjd,planid,spid,fiberid,ra_obs,dec_obs,snru,snrg,snrr,snri,snrz,class,subclass,z,z_err,ps_id,mag_ps_g,mag_ps_r,mag_ps_i,mag_ps_z,mag_ps_y,gaia_source_id,gaia_g_mean_mag,fibertype,offsets,offsets_v,ra,dec,fibermask,with_norm_flux,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_gedr3,ra_error,dec_gedr3,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist,rv_opt,rv_err,rv_best,ccfmax,success,imod,status
403226,L17324016682126,403226,J003728.14+401946.4,2011-10-24,55859,55858,M5901,3,226,9.36725,40.329583,12.279999732971191,45.08000183105469,35.439998626708984,-9999.0,19.959999084472656,STAR,A1,-0.00011834850010927767,2.5917899620253593e-05,156390093667796911,-999.0,-999.0,-999.0,-999.0,-999.0,380755039838585984,17.787643432617188,Obj,0,0.0,9.36725,40.329583,18,1,9.36721685784,40.32954996716,0.002081899903714657,0.0016177999787032604,42.290000915527344,380755039838585984,9.36721694376,0.0922,40.32955014625,0.0875,0.1441,0.1197,1.2038,0.043,0.015,0.112,0.04,0.115,310,0.4076,329.76,0.034,0.01674,31,,,18,1.015,False,1445.07,2.07595,17.787643,990.609,12.0807,17.848785,666.867,17.687798,1.147,0.160988,,,0,,,156390093672176094,,,652008446,0.003166,0.013532,0.015221,17.787643,0.003166,1445.07,-0.014,1.8425,1.8859,0.246,0.149715,-27.13092041015625,nan,-20.0,0.6821638401753016,True,27,0
404080,G17324609152652,368871689965067648,J004503.68+400837.3,2011-10-24,55859,55858,M5901,4,80,11.2653582,40.1437195,15.0600004196167,60.59000015258789,88.87999725341797,101.31999969482422,71.08000183105469,STAR,F7,-5.904099907638738e-06,1.7411999579053372e-05,156170112656463654,-999.0,-999.0,-999.0,19.637100219726562,-999.0,368871689965067648,15.210073471069336,F-Std,0,0.0,11.2653582,40.1437195,0,1,11.26534473345,40.14372343458,0.0004847999953199178,0.0004040999920107424,81.5999984741211,368871689965067648,11.26534539628,0.0265,40.14372398717,0.0208,0.3922,0.0336,11.6872,0.169,0.114,0.029,0.124,0.025,401,7.6435,681.46,0.179,7.638,31,,,19,1.283,False,15520.9,4.33495,15.210073,8501.89,17.0061,15.514754,10038.6,14.743712,1.195,0.771042,,,0,,,156170112653313107,1237659934293295212,,651010300,0.002772,0.003536,0.004051,15.210073,0.002772,15520.9,-0.003,0.4832,0.406,0.0528,0.039674,-5.74896240234375,nan,-10.0,0.893915107343178,True,280,0
404250,G17324472801690,369004627792961920,J004702.00+404517.3,2011-10-24,55859,55858,M5901,4,250,11.758348,40.754809,0.8600000143051147,4.909999847412109,8.5,11.199999809265137,5.869999885559082,STAR,G8,-0.00015613000141456723,7.829999958630651e-06,156900117588236894,22.54520034790039,-999.0,-999.0,-999.0,-999.0,369004627792961920,17.66323471069336,Obj,0,0.0,11.758348,40.754809,192,0,11.75831873165,40.754811598,0.0017025000415742397,0.0014392000157386065,102.31999969482422,369004627792961920,11.75831931421,0.0843,40.7548124868,0.0703,0.2942,0.1094,2.6892,0.223,0.099,0.103,0.2,0.089,364,3.5688,481.82,0.29,1.548,31,,,18,1.135,False,1620.51,1.8605,17.663235,792.671,7.90193,18.09081,1176.27,17.071632,1.215,1.019178,,,0,,,156900117583216427,1237659929998590315,,654011410,0.003024,0.011177,0.008662,17.663235,0.003024,1620.51,-0.004,1.6914,1.4522,-0.0702,0.080362,-55.633758544921875,nan,-60.0,0.4119391643615701,True,279,0
405044,G17324707010194,368830831941130368,J004338.74+393554.9,2011-10-24,55859,55858,M5901,5,44,10.911433,39.598596,0.1599999964237213,3.700000047683716,5.159999847412109,7.269999980926514,3.509999990463257,STAR,G1,-0.00058455002726987,1.5859999621170573e-05,155510109116448484,-999.0,-999.0,-999.0,-999.0,19.540800094604492,368830831941130368,18.334501266479492,Obj,0,0.0,10.911433,39.598596,0,0,10.91142928528,39.59858754903,0.002217700006440282,0.0017555999802425504,88.08999633789062,368830831941130368,10.91142946255,0.1097,39.59858633829,0.0867,0.183,0.1409,1.299,0.274,0.031,0.137,-0.272,0.108,385,-2.0651,338.94,0.0,0.0,31,,,19,0.925,False,873.265,1.07536,18.334501,460.236,12.1407,18.681091,577.76,17.843527,1.189,0.837564,,,0,,,155510109114468968,1237659934293033724,,648009518,0.003063,0.028777,0.017356,18.334501,0.003063,873.265,-0.014,2.2172,1.7561,0.0157,0.032121,-151.66677474975586,nan,-150.0,0.25849915569257986,True,364,0
405228,G17324751027402,368641853380654080,J004058.81+392958.3,2011-10-24,55859,55858,M5901,5,228,10.245078,39.499542,0.6200000047683716,5.510000228881836,7.769999980926514,9.039999961853027,4.960000038146973,STAR,F0,-0.00027473000227473676,2.1210000340943225e-05,155400102450860068,17.210500717163086,17.02869987487793,16.994300842285156,17.021900177001953,17.02359962463379,368641853380654080,17.009016036987305,Obj,0,0.0,10.245078,39.499542,0,0,10.24509009068,39.49952604283,0.000958800024818629,0.0007866999949328601,75.22000122070312,368641853380654080,10.24508806865,0.0548,39.49952478637,0.0409,-0.0167,0.0667,-0.2504,0.451,-0.351,0.058,-0.283,0.049,364,-0.1229,369.59,0.0,0.0,31,,,20,0.994,False,2960.33,1.96768,17.009016,1766.81,8.97049,17.22057,1714.79,16.662365,1.176,0.558205,,,0,,,155400102450860068,,,648008854,0.002848,0.006178,0.007552,17.009016,0.002848,2960.33,-0.007,0.9485,0.799,0.0978,0.066544,-135.67222595214844,nan,-130.0,0.3520115288032904,True,3,0
409055,G17324294311877,375269159716264320,J004838.60+415420.7,2011-10-24,55859,55858,M5901,9,55,12.160841,41.905776,1.4199999570846558,10.359999656677246,14.8100004196167,16.110000610351562,9.289999961853027,STAR,F5,-0.0006699634832330048,2.241549918835517e-05,158280121615557829,-999.0,-999.0,-999.0,-999.0,19.667800903320312,375269159716264320,16.899330139160156,Obj,0,0.0,12.160841,41.905776,0,1,12.16081319794,41.90576386178,0.001282899989746511,0.0008707999950274825,103.93000030517578,375269159716264320,12.1608123225,0.0639,41.90576319537,0.045,0.0359,0.0727,0.4935,0.21,-0.147,0.076,-0.15,0.055,341,-0.1535,344.78,0.0,0.0,31,,,18,0.993,False,3275.03,2.29165,16.89933,1817.47,9.22722,17.189873,2049.38,16.468838,1.181,0.721035,,,0,,,158280121608377577,1237659930535920220,,660012433,0.002858,0.006178,0.006649,16.89933,0.002858,3275.03,-0.013,1.2627,0.8999,-0.1825,0.086361,-200.48965454101562,nan,-200.0,0.5961342617771641,True,392,0
410115,G17323755445405,380694390606468608,J003347.36+400950.5,2011-10-24,55859,55858,M5901,10,115,8.4473707,40.164052,0.5199999809265137,4.170000076293945,3.390000104904175,3.2100000381469727,1.940000057220459,STAR,A2,-0.0003829099878203124,1.4369999917107634e-05,156190084473587510,18.17099952697754,18.328800201416016,18.514699935913086,18.65329933166504,18.669300079345703,380694390606468608,18.22314453125,Obj,0,0.0,8.4473707,40.164052,0,0,8.44739270795,40.16405850863,0.002734099980443716,0.0019069999689236283,27.450000762939453,380694390606468608,8.44739009782,0.1046,40.16405799024,0.1074,0.1604,0.146,1.098,0.464,-0.449,0.13,-0.117,0.158,273,-0.1377,276.21,0.0,0.0,31,,,18,0.993,False,967.584,1.62236,18.223145,643.375,11.7386,18.31738,387.491,18.277243,1.065,0.040138,,,0,,,156190084473587510,1237659932145221723,,651007746,0.003302,0.020005,0.025462,18.223145,0.003302,967.584,-0.09,2.1101,2.5806,0.2884,0.064922,-184.71292877197266,nan,-190.0,0.368823386304912,True,221,0
411052,G17332633625173,375339322303341696,J004625.26+421833.1,2011-10-24,55859,55858,M5901,11,52,11.605269,42.309217,0.2800000011920929,3.009999990463257,4.489999771118164,5.860000133514404,4.199999809265137,STAR,F0,-0.00010111000301549211,2.9569999242085032e-05,158770116057232118,-999.0,-999.0,21.39109992980957,-999.0,-999.0,375339322303341696,18.388303756713867,Obj,0,0.0,11.605269,42.309217,0,0,11.60529198688,42.30921743286,0.002199999988079071,0.0018647999968379736,92.98999786376953,375339322303341696,11.60529236385,0.143,42.30921687052,0.1035,0.0136,0.1742,0.078,0.141,0.063,0.133,-0.127,0.114,315,0.6496,340.72,0.247,0.4755,31,,,19,1.025,False,831.046,1.30726,18.388304,553.003,9.91128,18.481724,426.654,18.172707,1.179,0.309017,,,0,,,158770116052701708,,,662011682,0.003242,0.019658,0.025388,18.388304,0.003242,831.046,0.011,2.1992,1.8658,-0.0173,0.061217,-122.19059753417969,nan,-130.0,0.1668569466094097,True,23,0
411059,L17332630984524,411059,J004655.51+422050.2,2011-10-24,55859,55858,M5901,11,59,11.731333,42.347278,1.5299999713897705,5.650000095367432,6.71999979019165,9.210000038146973,6.75,QSO,Non,0.30669501423835754,4.999000157113187e-05,158810117321837454,-999.0,-999.0,-999.0,-999.0,-999.0,375328709439174400,17.647838592529297,Obj,0,0.0,11.731333,42.347278,0,0,11.731314535,42.34724825106,0.0014227000065147877,0.0011968000326305628,79.77999877929688,375328709439174400,11.73131421851,0.0794,42.34724828727,0.0615,0.0692,0.0993,0.6961,0.053,-0.053,0.087,0.008,0.074,330,-0.0432,336.43,0.0,0.0,31,,,19,0.997,False,1643.66,10.4523,17.647839,1067.89,28.4381,17.767223,1236.5,17.017408,1.402,0.749815,,,0,,,158810117313057340,,,662011830,0.007434,0.029048,0.015868,17.647839,0.007434,1643.66,0.206,1.4162,1.2046,0.0606,0.117827,-118.52252197265625,nan,-120.0,0.08367932892217439,True,542,0
411063,G17332642160084,375435254691232256,J004649.54+422818.0,2011-10-24,55859,55858,M5901,11,63,11.706417,42.471694,0.8899999856948853,2.950000047683716,2.880000114440918,3.390000104904175,1.8899999856948853,STAR,A2,-0.0005698099848814309,3.134999860776588e-05,158960117070827420,-999.0,-999.0,21.646900177001953,-999.0,-999.0,375435254691232256,18.542634963989258,Obj,0,0.0,11.706417,42.471694,0,0,11.70642061485,42.47162874386,0.002366499975323677,0.0021516999695450068,70.19999694824219,375435254691232256,11.70642107715,0.1473,42.4716280845,0.1158,-0.1371,0.195,-0.703,0.167,0.077,0.144,-0.148,0.133,333,2.0184,396.93,0.335,0.6977,31,,,18,1.079,False,720.93,1.2354,18.542635,509.217,9.56736,18.571285,316.748,18.49611,1.146,0.075174,,,0,,,158960117063716578,,,,0.003325,0.020589,0.02414,18.542635,0.003325,720.93,-0.011,2.3428,2.1774,0.0606,0.235118,-542.2200965881348,nan,-550.0,0.05530735410500984,True,143,0
